word,occurrences,avg_attention,avg_bias_drop,avg_anger_drop,avg_disgust_drop,avg_fear_drop,avg_joy_drop,avg_optimism_drop,avg_sadness_drop,avg_neutral_drop
other,13,1.0,-0.006343547541361589,-0.0036915047810627865,0.0026344129672417273,0.0014091214308371912,-0.006422412653382008,-0.003949780876819904,-0.004913798031898646,0.0036416007922245907
news,13,1.0,-0.04701517350398577,-0.01430961718926063,-0.019042741793852586,-0.012873921256798964,0.015976393738618262,0.013736242285141578,-0.008787874992077168,0.009391041902395396
china,12,1.0,-0.0012083059797684352,0.0086139515042305,-0.008130813638369242,-0.0001824448506037394,-0.017988142557442188,0.020992878824472427,-0.020757111410299938,0.024911401172478993
during,12,1.0,-0.007459923624992371,-0.004871871322393417,-0.01126577208439509,-0.003515200068553289,-0.009464654140174389,-0.004840389514962832,-0.010271760324637095,0.009514989952246347
ocasio,12,1.0,-0.0886070408547918,-0.03195292999347051,-0.042743828147649765,-0.0582176148891449,-0.03966231023271879,-0.01695740967988968,0.000989696631828944,0.06427941222985585
democrat,11,1.0,0.026789325204762546,-0.008157341317697004,-0.010493309660391375,-0.026700301603837448,-0.0001853264190933921,0.033426294272596184,0.01227774674242193,-0.007232316515662454
now,11,1.0,0.015322302552786741,0.009578253735195507,0.015645907683805985,0.020016685128211975,0.004630805416540666,0.0072991008108312435,0.008614149960604582,-0.03733271902257746
just,11,1.0,0.00057460909540003,0.0047753358429128475,-0.003403162414377386,-0.0038305060430006547,0.011564337394454262,9.518455375324596e-05,0.012442965399135242,-0.010475907813418995
major,11,1.0,-0.0003547824241898277,-0.0016385669058019464,-0.006773374297402122,-0.0009512630375948819,0.0015683235092596574,0.0010487491434270685,-0.0033548467538573527,0.001379105177792636
york,11,1.0,-0.0028092089024457064,0.0060105161233381795,0.020989916541359642,-0.0013025890697132456,-0.006417504088445144,0.00769123841415752,0.012027802115136927,-0.01261785626411438
cortez,11,1.0,-0.061893556605685844,0.0007320534099232067,-0.03878984261642803,-0.030195186083967037,-0.03461223298853094,-0.0191474665294994,-0.006840378723361276,0.03824817592447454
course,10,1.0,0.051057853549718854,0.0002759292721748352,0.00449812114238739,-0.011530536413192748,-0.015078289061784744,0.004478907585144043,-0.0027522429823875426,-0.007175359129905701
majority,10,1.0,0.022377043217420577,-0.002293229103088379,-0.0005382210016250611,0.009555797278881072,-0.0028880655765533446,0.008426165580749512,0.010816524922847747,-0.024767336249351502
american,10,1.0,0.008683498203754424,0.008672428131103516,0.004095984995365143,-0.0024948596954345705,-0.010511488467454911,0.00015245378017425537,0.003188633918762207,0.0012791097164154054
like,10,1.0,0.008027441054582595,0.01173742413520813,0.0022150635719299316,-0.009105168282985687,-0.004359624534845352,0.008364367485046386,0.010721726715564728,-0.01607295572757721
how,10,1.0,0.0057651355862617494,0.023987478017807005,0.004450318217277527,0.007075777649879456,0.009566164016723633,-0.01835809797048569,0.0046844080090522764,-0.005054625868797302
right,10,1.0,0.00285717248916626,-0.009868139028549194,0.00932925045490265,-0.014514666795730592,-0.007798083126544952,-0.0018668904900550841,-0.015681087970733643,-0.015261328220367432
states,10,1.0,0.0008553236722946167,0.019392487406730653,0.001968759298324585,0.008593687415122985,-0.011248671635985374,-0.01108780801296234,-0.001821810007095337,-0.006288586556911469
though,10,1.0,-0.0004742249846458435,-0.04567749500274658,-0.03998006284236908,-0.017846909165382386,-0.022996331006288527,0.014077065885066986,-0.00773463100194931,0.05222038328647614
may,10,1.0,-0.0008822210133075714,-0.012918756902217865,-0.020681080222129822,-0.0091305211186409,-0.015260311216115952,-0.0021407879889011384,-0.011148390173912049,0.023124906420707702
united,10,1.0,-0.0009645462036132812,0.004653266072273255,0.01143801212310791,-0.0003671392798423767,-0.007160486653447151,-0.004512976109981537,-0.007692229002714157,-0.00971928983926773
health,10,1.0,-0.015765519067645072,0.024081939458847047,0.04828979671001434,0.03294110149145126,-0.01038360819220543,0.03527394607663155,0.019139619916677474,-0.049617810547351836
transgender,9,1.0,0.0725206087032954,0.02968705031606886,0.017876197894414265,0.01719174285729726,-0.0166491675708029,-0.019313971201578777,0.0033754739496443006,-0.020280458860927157
abortion,9,1.0,0.026252209312385984,-0.005974567598766751,-0.011999434894985624,-0.04429428941673703,-0.03994366112682554,-0.023594283395343356,0.0014453331629435222,-0.0012903975115882026
alexandria,9,1.0,0.016825593180126615,-0.02885290649202135,-0.010074638658099704,-0.01638241774506039,-0.012282017204496596,-0.006511880291832818,-0.00786916414896647,0.021980265776316326
plan,9,1.0,0.010297099749247232,0.0013977835575739543,-0.021277843250168696,-0.04683650367789798,-0.009746660788853964,-0.0006230887439515856,-0.018049726055728063,0.0480477147632175
yet,9,1.0,0.006483314765824212,0.016374614503648546,0.05084050363964505,-0.008863624599244859,-0.027713691194852192,-0.018990581234296162,-0.02134819659921858,0.005126108725865682
used,9,1.0,0.0025430404477649266,-0.017001496420966253,-0.01407658060391744,-0.015055384900834825,-0.022898354878028233,-0.007724422547552321,-0.010748452610439725,0.02928969595167372
than,9,1.0,0.0015737803445922004,-0.00010067555639478896,0.008769493963983323,0.003726138008965386,-0.011212650686502457,-0.017329239183002047,0.0003721763690312703,-0.005228070749176873
part,9,1.0,0.0008692344029744467,-0.000905278656217787,0.0016539891560872395,0.0003737211227416992,-0.008352560301621756,0.003134076793988546,-0.0024642844994862876,-0.00015687776936425103
federal,9,1.0,0.0008161664009094238,-0.004315543505880568,-0.004727635118696425,0.0077962544229295515,-0.007798187434673309,0.007400982909732395,0.0037130307820108202,-0.0061098138491312666
week,9,1.0,0.0007228491206963857,-0.01437785393661923,-0.007714294724994236,-0.011354633503490023,0.018591891560289595,-0.0012965351343154907,0.0014212056994438171,0.002511794368426005
another,9,1.0,0.0005853623151779175,0.004397117429309421,0.01702118582195706,0.014650646183225844,-0.0014871209859848022,-0.0026066915856467355,0.010004644592603048,-0.01485255608956019
world,9,1.0,-0.00024349532193607755,0.008778201209174262,0.02326881554391649,0.014725234773423936,0.0014562076992458766,0.001533526513311598,-0.0031782007879681056,-0.007970516880353292
before,9,1.0,-0.00080915457672543,0.010087750024265714,-0.0004399783081478543,0.005712696247630649,0.009777413060267767,0.013696675499280294,0.002106316387653351,-0.0020217630598280164
top,9,1.0,-0.0014606639742851257,-0.009320222669177584,-0.01174214482307434,0.004888445138931274,-0.003906736357344521,-0.0036335206694073146,0.005849467383490669,0.007966003484196134
bernie,9,1.0,-0.002608334024747213,0.007628368006812202,-0.00835709936088986,-0.011423703696992662,-0.005146017505062951,0.019023360477553472,-0.006090544992023044,-0.0023890071445041234
